iter	Passed	Remaining
846	90776	16397
847	90901	16293
848	91019	16188
849	91158	16086
850	91302	15985
851	91430	15882
852	91571	15780
853	91711	15679
854	91821	15572
855	91925	15464
856	92029	15356
857	92132	15248
858	92240	15140
859	92342	15032
860	92446	14924
861	92551	14816
862	92658	14709
863	92768	14602
864	92885	14496
865	92989	14388
866	93096	14281
867	93213	14175
868	93324	14068
869	93433	13961
870	93541	13853
871	93646	13746
872	93754	13638
873	93860	13531
874	93968	13424
875	94076	13316
876	94184	13209
877	94288	13101
878	94395	12994
879	94499	12886
880	94602	12778
881	94709	12670
882	94814	12563
883	94917	12455
884	95023	12347
885	95126	12239
886	95233	12132
887	95340	12024
888	95444	11917
889	95546	11809
890	95652	11701
891	95757	11593
892	95864	11486
893	95971	11379
894	96077	11271
895	96189	11164
896	96295	11057
897	96400	10949
898	96506	10842
899	96618	10735
900	96724	10627
901	96831	10520
902	96934	10412
903	97039	10305
904	97145	10197
905	97250	10089
906	97351	9982
907	97456	9874
908	97561	9766
909	97664	9659
910	97774	9552
911	97882	9444
912	97987	9337
913	98091	9229
914	98197	9122
915	98301	9014
916	98405	8906
917	98510	8799
918	98616	8691
919	98722	8584
920	98827	8477
921	98933	8369
922	99036	8262
923	99142	8154
924	99249	8047
925	99352	7939
926	99457	7832
927	99562	7724
928	99669	7617
929	99775	7509
930	99882	7402
931	99987	7295
932	100090	7187
933	100197	7080
934	100304	6973
935	100406	6865
936	100511	6757
937	100617	6650
938	100724	6543
939	100833	6436
940	100938	6328
941	101044	6221
942	101149	6114
943	101260	6006
944	101366	5899
945	101474	5792
946	101578	5684
947	101686	5577
948	101801	5470
949	101906	5363
950	102012	5256
951	102121	5148
952	102229	5041
953	102334	4934
954	102441	4827
955	102547	4719
956	102652	4612
957	102764	4505
958	102880	4398
959	102986	4291
960	103094	4183
961	103209	4076
962	103315	3969
963	103420	3862
964	103523	3754
965	103628	3647
966	103737	3540
967	103850	3433
968	103958	3325
969	104064	3218
970	104171	3111
971	104275	3003
972	104386	2896
973	104490	2789
974	104596	2681
975	104703	2574
976	104811	2467
977	104918	2360
978	105027	2252
979	105135	2145
980	105241	2038
981	105346	1930
982	105452	1823
983	105559	1716
984	105671	1609
985	105827	1502
986	106000	1396
987	106160	1289
988	106325	1182
989	106445	1075
990	106547	967
991	106651	860
992	106757	752
993	106862	645
994	106980	537
995	107087	430
996	107189	322
997	107297	215
998	107403	107
999	107507	0
